movie_title,budget,gross,gross_budget_link
Barfi,,,http://www.imdb.com/title/tt3099638/business?ref_=tt_dt_bus
Barry Lyndon,11000000,,http://www.imdb.com/title/tt0072684/business?ref_=tt_dt_bus
Barry Munday,,,http://www.imdb.com/title/tt0482461/business?ref_=tt_dt_bus
Bathing Beauty,2361000,,http://www.imdb.com/title/tt0036628/business?ref_=tt_dt_bus
Bathory: Countess of Blood,,,http://www.imdb.com/title/tt0469640/business?ref_=tt_dt_bus
"Batman: The Dark Knight Returns, Part 2",3500000,,http://www.imdb.com/title/tt2166834/business?ref_=tt_dt_bus
Batman: The Movie,1377800,,http://www.imdb.com/title/tt0060153/business?ref_=tt_dt_bus
Battle for the Planet of the Apes,1800000,,http://www.imdb.com/title/tt0069768/business?ref_=tt_dt_bus
Below Zero,1200000,,http://www.imdb.com/title/tt1641388/business?ref_=tt_dt_bus
Bending Steel,50000,,http://www.imdb.com/title/tt2181837/business?ref_=tt_dt_bus
Beneath Hill 60,9000000,,http://www.imdb.com/title/tt1418646/business?ref_=tt_dt_bus
Beneath the Planet of the Apes,3000000,,http://www.imdb.com/title/tt0065462/business?ref_=tt_dt_bus
Ben-Hur,,,http://www.imdb.com/title/tt2638144/business?ref_=tt_dt_bus
Bewitched,,,http://www.imdb.com/title/tt0057733/business?ref_=tt_dt_bus
B-Girl,,,http://www.imdb.com/title/tt0964179/business?ref_=tt_dt_bus
Bizarre,500000,,http://www.imdb.com/title/tt3904272/business?ref_=tt_dt_bus
Black November,7500000,,http://www.imdb.com/title/tt2147225/business?ref_=tt_dt_bus
Black Rock,,,http://www.imdb.com/title/tt1930294/business?ref_=tt_dt_bus
Black Water Transit,23000000,,http://www.imdb.com/title/tt0490087/business?ref_=tt_dt_bus
Bled,750000,,http://www.imdb.com/title/tt0997143/business?ref_=tt_dt_bus
Bleeding Hearts,1200000,,http://www.imdb.com/title/tt2622294/business?ref_=tt_dt_bus
Blow Out,18000000,,http://www.imdb.com/title/tt0082085/business?ref_=tt_dt_bus
Body Double,10000000,,http://www.imdb.com/title/tt0086984/business?ref_=tt_dt_bus
Bodyguards and Assassins,23000000,,http://www.imdb.com/title/tt1403130/business?ref_=tt_dt_bus
Bon Cop Bad Cop,8000000,,http://www.imdb.com/title/tt0479647/business?ref_=tt_dt_bus
Bones,,,http://www.imdb.com/title/tt0460627/business?ref_=tt_dt_bus
Boom Town,1614000,,http://www.imdb.com/title/tt0032273/business?ref_=tt_dt_bus
Born of War,5000000,,http://www.imdb.com/title/tt1554921/business?ref_=tt_dt_bus
BrainDead,,,http://www.imdb.com/title/tt4877736/business?ref_=tt_dt_bus
Brave New Girl,,,http://www.imdb.com/title/tt0403118/business?ref_=tt_dt_bus
Brighton Rock,12000000,,http://www.imdb.com/title/tt1233192/business?ref_=tt_dt_bus
Broken Horses,15000000,,http://www.imdb.com/title/tt2503954/business?ref_=tt_dt_bus
Bubba Ho-Tep,1000000,,http://www.imdb.com/title/tt0281686/business?ref_=tt_dt_bus
Buffy the Vampire Slayer,2300000,,http://www.imdb.com/title/tt0118276/business?ref_=tt_dt_bus
Butterfly,,,http://www.imdb.com/title/tt0082122/business?ref_=tt_dt_bus
Butterfly Girl,180000,,http://www.imdb.com/title/tt2421956/business?ref_=tt_dt_bus
C.H.U.D.,1250000,,http://www.imdb.com/title/tt0087015/business?ref_=tt_dt_bus
Cabin Fever,,,http://www.imdb.com/title/tt3832096/business?ref_=tt_dt_bus
Camping sauvage,,,http://www.imdb.com/title/tt0451673/business?ref_=tt_dt_bus
Capricorn One,5000000,,http://www.imdb.com/title/tt0077294/business?ref_=tt_dt_bus
Captain Alatriste: The Spanish Musketeer,24000000,,http://www.imdb.com/title/tt0395119/business?ref_=tt_dt_bus
Cargo,4500000,,http://www.imdb.com/title/tt0381940/business?ref_=tt_dt_bus
